<http://www.yso.fi/onto/yso/p1037>	pohjoismainen tules-vuosi
<http://www.yso.fi/onto/yso/p10370>	amerikanenglanti
<http://www.yso.fi/onto/yso/p10371>	laki kuvaohjelmien tarkastamisesta
<http://www.yso.fi/onto/yso/p10372>	toiminnallisuus
<http://www.yso.fi/onto/yso/p10373>	elektroninen sodankäynti
<http://www.yso.fi/onto/yso/p10374>	kaupan järjestöt
<http://www.yso.fi/onto/yso/p10375>	yrittäjäjärjestöt
<http://www.yso.fi/onto/yso/p10376>	keskusliikkeet
<http://www.yso.fi/onto/yso/p10377>	kognitiivinen uskontotiede
<http://www.yso.fi/onto/yso/p10378>	arkistotoimi
<http://www.yso.fi/onto/yso/p10379>	asiakirjahallinto
<http://www.yso.fi/onto/yso/p1038>	teemavuodet
<http://www.yso.fi/onto/yso/p10380>	tieteellinen yhteistyö
<http://www.yso.fi/onto/yso/p10381>	työttömyyspäivärahat
<http://www.yso.fi/onto/yso/p10382>	päivärahat
<http://www.yso.fi/onto/yso/p10383>	työttömyyskorvaukset
<http://www.yso.fi/onto/yso/p10384>	puhelinvastaajat
<http://www.yso.fi/onto/yso/p10385>	seurantakokoukset
<http://www.yso.fi/onto/yso/p10386>	persialaissodat
<http://www.yso.fi/onto/yso/p10387>	sairauspäivärahat
<http://www.yso.fi/onto/yso/p10389>	Vuoksenniskan kirkko
<http://www.yso.fi/onto/yso/p1039>	ihanteet
<http://www.yso.fi/onto/yso/p10390>	isopanda
<http://www.yso.fi/onto/yso/p10391>	pandat
<http://www.yso.fi/onto/yso/p10392>	Söderlångvik
<http://www.yso.fi/onto/yso/p10393>	ohjelmoijat
<http://www.yso.fi/onto/yso/p10394>	kroaatin kieli
<http://www.yso.fi/onto/yso/p10395>	bosnian kieli
<http://www.yso.fi/onto/yso/p10396>	serbokroaatin kieli
<http://www.yso.fi/onto/yso/p10397>	inventointi
<http://www.yso.fi/onto/yso/p10398>	luettelointi
<http://www.yso.fi/onto/yso/p10399>	hyökkäämättömyyssopimukset
<http://www.yso.fi/onto/yso/p104>	ohjelmat (radio- tai tv-ohjelmat)
<http://www.yso.fi/onto/yso/p1040>	sankarit
<http://www.yso.fi/onto/yso/p10400>	masokismi
<http://www.yso.fi/onto/yso/p10401>	sadomasokismi
<http://www.yso.fi/onto/yso/p10402>	seksuaaliset poikkeavuudet
<http://www.yso.fi/onto/yso/p10403>	sadismi
<http://www.yso.fi/onto/yso/p10404>	aikido
<http://www.yso.fi/onto/yso/p10405>	haaksirikot
<http://www.yso.fi/onto/yso/p10406>	merivahingot
<http://www.yso.fi/onto/yso/p10407>	meriselitykset
<http://www.yso.fi/onto/yso/p10408>	maantiepyöräily
<http://www.yso.fi/onto/yso/p10409>	pyöräily
<http://www.yso.fi/onto/yso/p1041>	esikuvat
<http://www.yso.fi/onto/yso/p10410>	paikannimet
<http://www.yso.fi/onto/yso/p10411>	kynnet
<http://www.yso.fi/onto/yso/p10413>	seleeni
<http://www.yso.fi/onto/yso/p10414>	historiantutkimus
<http://www.yso.fi/onto/yso/p10415>	rahalöydöt
<http://www.yso.fi/onto/yso/p10416>	aarrelöydöt
<http://www.yso.fi/onto/yso/p10417>	muinaisesineet
<http://www.yso.fi/onto/yso/p10419>	kivenhakkaajat
<http://www.yso.fi/onto/yso/p1042>	sankaruus
<http://www.yso.fi/onto/yso/p10420>	hengenpelastus
<http://www.yso.fi/onto/yso/p10421>	sanit
<http://www.yso.fi/onto/yso/p10422>	nykyperinne
<http://www.yso.fi/onto/yso/p10423>	nykytarinat
<http://www.yso.fi/onto/yso/p10424>	kansainvälinen rikosoikeus
<http://www.yso.fi/onto/yso/p10425>	rikosoikeus
<http://www.yso.fi/onto/yso/p10426>	turkin kieli
<http://www.yso.fi/onto/yso/p10427>	hautauspalvelut
<http://www.yso.fi/onto/yso/p10428>	tiilirakennukset
<http://www.yso.fi/onto/yso/p10429>	yhteiskuntatieteet
<http://www.yso.fi/onto/yso/p1043>	esimerkillisyys
<http://www.yso.fi/onto/yso/p10430>	peltovalvatti
<http://www.yso.fi/onto/yso/p10431>	valvatit
<http://www.yso.fi/onto/yso/p10432>	laiskiaiset
<http://www.yso.fi/onto/yso/p10433>	kyllästys
<http://www.yso.fi/onto/yso/p10434>	puunsuojaus
<http://www.yso.fi/onto/yso/p10435>	puuvilla
